event_id,contract,event_direction,outcome,event_row_index,termination_row_index,audit_pass,first_mismatch,failed_checks,independent_first_row,independent_outcome,contract_match,event_direction_match,entry_price_match,origin_range_high_price_match,origin_range_low_price_match,range_high_before_range_low_match,highest_price_during_lifecycle_match,lowest_price_during_lifecycle_match,stop_loss_price_match,risk_unit_match,opposing_event_price_match,outcome_match,realized_R_match,seconds_to_resolution_match,ticks_to_resolution_match,event_timestamp_match,termination_timestamp_match,raw_entry_price_match,raw_entry_timestamp_match,risk_formula_match,raw_highest_price_match,raw_lowest_price_match,R_formula_match,first_termination_match
3,NQM19-CME,BULLISH,STOP_LOSS,138,139,True,,,139,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10,NQM19-CME,BEARISH,STOP_LOSS,370,390,True,,,390,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
16,NQM19-CME,BEARISH,STOP_LOSS,460,537,True,,,537,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
295,NQM19-CME,BEARISH,STOP_LOSS,14096,14097,True,,,14097,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
343,NQM19-CME,BULLISH,STOP_LOSS,16359,16360,True,,,16360,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2499,NQM19-CME,BULLISH,STOP_LOSS,255325,255338,True,,,255338,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2573,NQM19-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,258611,258744,True,,,258744,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
14725,NQM19-CME,BULLISH,CLOSED_BY_OPPOSING_EVENT,1470933,1473772,True,,,1473772,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
56962,NQM19-CME,BULLISH,STOP_LOSS,5109193,5109247,True,,,5109247,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
68793,NQM19-CME,BULLISH,CLOSED_BY_OPPOSING_EVENT,6118402,6121254,True,,,6121254,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
89477,NQM19-CME,BULLISH,CLOSED_BY_OPPOSING_EVENT,8277180,8280076,True,,,8280076,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
97555,NQM19-CME,BEARISH,STOP_LOSS,9180649,9180840,True,,,9180840,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
99012,NQM19-CME,BULLISH,CLOSED_BY_OPPOSING_EVENT,9376367,9376690,True,,,9376690,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
102895,NQM19-CME,BEARISH,STOP_LOSS,9771892,9772039,True,,,9772039,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
104769,NQM19-CME,BULLISH,STOP_LOSS,9937716,9937792,True,,,9937792,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
121224,NQM19-CME,BULLISH,STOP_LOSS,11674159,11674199,True,,,11674199,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
123726,NQM19-CME,BEARISH,STOP_LOSS,11938791,11938810,True,,,11938810,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
143104,NQM19-CME,BULLISH,CLOSED_BY_OPPOSING_EVENT,13661208,13661285,True,,,13661285,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
145111,NQM19-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,13797630,13797879,True,,,13797879,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
176227,NQM19-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,15822611,15822672,True,,,15822672,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
185797,NQM19-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,16261501,16261928,True,,,16261928,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
191812,NQM19-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,16647506,16647846,True,,,16647846,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
191813,NQM19-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,16647549,16647846,True,,,16647846,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
253818,NQM19-CME,BULLISH,CLOSED_BY_OPPOSING_EVENT,20274834,20274935,True,,,20274935,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
256830,NQM19-CME,BULLISH,CLOSED_BY_OPPOSING_EVENT,20504252,20504274,True,,,20504274,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
268259,NQM19-CME,BEARISH,STOP_LOSS,21255692,21255728,True,,,21255728,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
270694,NQM19-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,21418224,21418307,True,,,21418307,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
271520,NQM19-CME,BULLISH,CLOSED_BY_OPPOSING_EVENT,21451711,21451852,True,,,21451852,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
320057,NQM19-CME,BULLISH,STOP_LOSS,24549371,24549461,True,,,24549461,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
