event_id,contract,event_direction,outcome,event_row_index,termination_row_index,audit_pass,first_mismatch,failed_checks,independent_first_row,independent_outcome,contract_match,event_direction_match,entry_price_match,origin_range_high_price_match,origin_range_low_price_match,range_high_before_range_low_match,highest_price_during_lifecycle_match,lowest_price_during_lifecycle_match,stop_loss_price_match,risk_unit_match,opposing_event_price_match,outcome_match,realized_R_match,seconds_to_resolution_match,ticks_to_resolution_match,event_timestamp_match,termination_timestamp_match,raw_entry_price_match,raw_entry_timestamp_match,risk_formula_match,raw_highest_price_match,raw_lowest_price_match,R_formula_match,first_termination_match
5,NQU10-CME,BEARISH,STOP_LOSS,71,77,True,,,77,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6,NQU10-CME,BEARISH,STOP_LOSS,91,98,True,,,98,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7,NQU10-CME,BULLISH,STOP_LOSS,99,102,True,,,102,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
239,NQU10-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,2369,2410,True,,,2410,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
290,NQU10-CME,BULLISH,STOP_LOSS,3059,3060,True,,,3060,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
307,NQU10-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,3162,3163,True,,,3163,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
372,NQU10-CME,BULLISH,STOP_LOSS,4000,4001,True,,,4001,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
504,NQU10-CME,BULLISH,CLOSED_BY_OPPOSING_EVENT,5424,5457,True,,,5457,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
781,NQU10-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,8242,8263,True,,,8263,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1943,NQU10-CME,BULLISH,CLOSED_BY_OPPOSING_EVENT,19947,20185,True,,,20185,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
