event_id,contract,event_direction,outcome,event_row_index,termination_row_index,audit_pass,first_mismatch,failed_checks,independent_first_row,independent_outcome,contract_match,event_direction_match,entry_price_match,origin_range_high_price_match,origin_range_low_price_match,range_high_before_range_low_match,highest_price_during_lifecycle_match,lowest_price_during_lifecycle_match,stop_loss_price_match,risk_unit_match,opposing_event_price_match,outcome_match,realized_R_match,seconds_to_resolution_match,ticks_to_resolution_match,event_timestamp_match,termination_timestamp_match,raw_entry_price_match,raw_entry_timestamp_match,risk_formula_match,raw_highest_price_match,raw_lowest_price_match,R_formula_match,first_termination_match
3,NQZ10-CME,BULLISH,STOP_LOSS,40,45,True,,,45.0,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4,NQZ10-CME,BULLISH,STOP_LOSS,56,66,True,,,66.0,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
5,NQZ10-CME,BEARISH,STOP_LOSS,69,71,True,,,71.0,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
213,NQZ10-CME,BEARISH,STOP_LOSS,2562,2592,True,,,2592.0,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
272,NQZ10-CME,BEARISH,STOP_LOSS,3282,3283,True,,,3283.0,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
337,NQZ10-CME,BULLISH,STOP_LOSS,4070,4071,True,,,4071.0,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
610,NQZ10-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,7501,7560,True,,,7560.0,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
612,NQZ10-CME,BULLISH,CLOSED_BY_OPPOSING_EVENT,7560,7583,True,,,7583.0,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1174,NQZ10-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,13936,14003,True,,,14003.0,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1908,NQZ10-CME,BULLISH,CLOSED_BY_OPPOSING_EVENT,21552,21582,True,,,21582.0,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
