event_id,contract,event_direction,outcome,event_row_index,termination_row_index,audit_pass,first_mismatch,failed_checks,independent_first_row,independent_outcome,contract_match,event_direction_match,entry_price_match,origin_range_high_price_match,origin_range_low_price_match,range_high_before_range_low_match,highest_price_during_lifecycle_match,lowest_price_during_lifecycle_match,stop_loss_price_match,risk_unit_match,opposing_event_price_match,outcome_match,realized_R_match,seconds_to_resolution_match,ticks_to_resolution_match,event_timestamp_match,termination_timestamp_match,raw_entry_price_match,raw_entry_timestamp_match,risk_formula_match,raw_highest_price_match,raw_lowest_price_match,R_formula_match,first_termination_match
1,NQH20-CME,BULLISH,STOP_LOSS,62,69,True,,,69,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7,NQH20-CME,BULLISH,STOP_LOSS,161,205,True,,,205,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
11,NQH20-CME,BULLISH,STOP_LOSS,345,361,True,,,361,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
301,NQH20-CME,BEARISH,STOP_LOSS,27299,27300,True,,,27300,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
659,NQH20-CME,BULLISH,STOP_LOSS,67160,67161,True,,,67161,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1142,NQH20-CME,BULLISH,STOP_LOSS,130141,130142,True,,,130142,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
8556,NQH20-CME,BULLISH,CLOSED_BY_OPPOSING_EVENT,1074773,1077994,True,,,1077994,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
27781,NQH20-CME,BULLISH,STOP_LOSS,3051319,3051440,True,,,3051440,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
37645,NQH20-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,4004440,4005066,True,,,4005066,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
58790,NQH20-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,5916660,5917096,True,,,5917096,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
70720,NQH20-CME,BULLISH,CLOSED_BY_OPPOSING_EVENT,7146886,7150333,True,,,7150333,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
70721,NQH20-CME,BULLISH,CLOSED_BY_OPPOSING_EVENT,7147095,7150333,True,,,7150333,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
88104,NQH20-CME,BULLISH,CLOSED_BY_OPPOSING_EVENT,9091554,9091840,True,,,9091840,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
93244,NQH20-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,9667712,9668426,True,,,9668426,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
93245,NQH20-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,9667778,9668426,True,,,9668426,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
127140,NQH20-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,12213526,12213569,True,,,12213569,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
174973,NQH20-CME,BULLISH,STOP_LOSS,15400996,15401024,True,,,15401024,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
206174,NQH20-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,17815593,17817023,True,,,17817023,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
233479,NQH20-CME,BEARISH,STOP_LOSS,19852550,19852570,True,,,19852570,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
258155,NQH20-CME,BULLISH,CLOSED_BY_OPPOSING_EVENT,21183078,21183228,True,,,21183228,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
369796,NQH20-CME,BULLISH,CLOSED_BY_OPPOSING_EVENT,25034235,25034301,True,,,25034301,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
407688,NQH20-CME,BEARISH,STOP_LOSS,25797902,25797913,True,,,25797913,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
