event_id,contract,event_direction,outcome,event_row_index,termination_row_index,audit_pass,first_mismatch,failed_checks,independent_first_row,independent_outcome,contract_match,event_direction_match,entry_price_match,origin_range_high_price_match,origin_range_low_price_match,range_high_before_range_low_match,highest_price_during_lifecycle_match,lowest_price_during_lifecycle_match,stop_loss_price_match,risk_unit_match,opposing_event_price_match,outcome_match,realized_R_match,seconds_to_resolution_match,ticks_to_resolution_match,event_timestamp_match,termination_timestamp_match,raw_entry_price_match,raw_entry_timestamp_match,risk_formula_match,raw_highest_price_match,raw_lowest_price_match,R_formula_match,first_termination_match
7,NQU15-CME,BULLISH,STOP_LOSS,277,342,True,,,342,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
8,NQU15-CME,BULLISH,STOP_LOSS,286,342,True,,,342,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
16,NQU15-CME,BULLISH,STOP_LOSS,638,696,True,,,696,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
141,NQU15-CME,BULLISH,STOP_LOSS,7351,7352,True,,,7352,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
144,NQU15-CME,BEARISH,STOP_LOSS,7682,7683,True,,,7683,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
158,NQU15-CME,BULLISH,STOP_LOSS,9100,9101,True,,,9101,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4441,NQU15-CME,BULLISH,CLOSED_BY_OPPOSING_EVENT,482489,482596,True,,,482596,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7407,NQU15-CME,BULLISH,CLOSED_BY_OPPOSING_EVENT,818762,819131,True,,,819131,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9798,NQU15-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,1109854,1110403,True,,,1110403,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
12233,NQU15-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,1363590,1363915,True,,,1363915,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
12740,NQU15-CME,BULLISH,STOP_LOSS,1412285,1412304,True,,,1412304,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25050,NQU15-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,2732047,2736958,True,,,2736958,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25051,NQU15-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,2732201,2736958,True,,,2736958,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25052,NQU15-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,2732345,2736958,True,,,2736958,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
28033,NQU15-CME,BULLISH,STOP_LOSS,3099634,3099715,True,,,3099715,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
34302,NQU15-CME,BEARISH,STOP_LOSS,3894826,3895042,True,,,3895042,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
34367,NQU15-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,3902305,3902577,True,,,3902577,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
35086,NQU15-CME,BEARISH,STOP_LOSS,3992320,3992326,True,,,3992326,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
46542,NQU15-CME,BULLISH,STOP_LOSS,5329190,5329330,True,,,5329330,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
47412,NQU15-CME,BULLISH,CLOSED_BY_OPPOSING_EVENT,5430981,5431249,True,,,5431249,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
54120,NQU15-CME,BULLISH,CLOSED_BY_OPPOSING_EVENT,6112652,6113182,True,,,6113182,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
60121,NQU15-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,6742974,6743275,True,,,6743275,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
71027,NQU15-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,7705395,7705930,True,,,7705930,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
81804,NQU15-CME,BULLISH,CLOSED_BY_OPPOSING_EVENT,8143078,8143106,True,,,8143106,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
88565,NQU15-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,8408383,8408740,True,,,8408740,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
106448,NQU15-CME,BULLISH,STOP_LOSS,9398681,9398703,True,,,9398703,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
108824,NQU15-CME,BEARISH,STOP_LOSS,9514816,9514843,True,,,9514843,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
109193,NQU15-CME,BEARISH,STOP_LOSS,9539352,9539366,True,,,9539366,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
109870,NQU15-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,9589332,9589495,True,,,9589495,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
115728,NQU15-CME,BULLISH,STOP_LOSS,9962538,9962657,True,,,9962657,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
121182,NQU15-CME,BEARISH,STOP_LOSS,10301272,10301278,True,,,10301278,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
141159,NQU15-CME,BULLISH,CLOSED_BY_OPPOSING_EVENT,11741951,11743071,True,,,11743071,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
