event_id,contract,event_direction,outcome,event_row_index,termination_row_index,audit_pass,first_mismatch,failed_checks,independent_first_row,independent_outcome,contract_match,event_direction_match,entry_price_match,origin_range_high_price_match,origin_range_low_price_match,range_high_before_range_low_match,highest_price_during_lifecycle_match,lowest_price_during_lifecycle_match,stop_loss_price_match,risk_unit_match,opposing_event_price_match,outcome_match,realized_R_match,seconds_to_resolution_match,ticks_to_resolution_match,event_timestamp_match,termination_timestamp_match,raw_entry_price_match,raw_entry_timestamp_match,risk_formula_match,raw_highest_price_match,raw_lowest_price_match,R_formula_match,first_termination_match
15,NQZ21-CME,BEARISH,STOP_LOSS,236,238,True,,,238,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
16,NQZ21-CME,BULLISH,STOP_LOSS,238,239,True,,,239,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
18,NQZ21-CME,BEARISH,STOP_LOSS,289,294,True,,,294,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
33,NQZ21-CME,BEARISH,STOP_LOSS,578,579,True,,,579,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
108,NQZ21-CME,BEARISH,STOP_LOSS,2567,2568,True,,,2568,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3441,NQZ21-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,132211,132671,True,,,132671,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10307,NQZ21-CME,BULLISH,CLOSED_BY_OPPOSING_EVENT,395960,396062,True,,,396062,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
19370,NQZ21-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,785820,786103,True,,,786103,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
95005,NQZ21-CME,BULLISH,CLOSED_BY_OPPOSING_EVENT,3831514,3833087,True,,,3833087,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
95006,NQZ21-CME,BULLISH,CLOSED_BY_OPPOSING_EVENT,3831533,3833087,True,,,3833087,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
