sequence_number,contract,status,source_rows,eligible_rows,event_count,scan_error_count,audit_events_sampled,scan_audit_aligned,reliable_for_research,scan_seconds,ledger_path
1,NQZ09-CME,COMPLETED,80288,77107,6443,1,31,True,False,1.8944275379180908,D:\Market Data\Experiment1\event_ledgers\NQZ09-CME_event_ledger.csv
2,NQH10-CME,COMPLETED,78205,72323,5635,1,32,True,False,1.5887963771820068,D:\Market Data\Experiment1\event_ledgers\NQH10-CME_event_ledger.csv
3,NQM10-CME,COMPLETED,82302,76093,6770,2,32,True,False,1.757328987121582,D:\Market Data\Experiment1\event_ledgers\NQM10-CME_event_ledger.csv
4,NQU10-CME,COMPLETED,84950,78039,7154,3,32,True,False,1.830212116241455,D:\Market Data\Experiment1\event_ledgers\NQU10-CME_event_ledger.csv
5,NQZ10-CME,COMPLETED,84082,78360,6813,2,32,True,False,1.7268340587615967,D:\Market Data\Experiment1\event_ledgers\NQZ10-CME_event_ledger.csv
6,NQH11-CME,COMPLETED,6797594,6769907,33563,775,32,True,False,76.22103977203369,D:\Market Data\Experiment1\event_ledgers\NQH11-CME_event_ledger.csv
7,NQM11-CME,COMPLETED,8000000,7748349,39647,1159,32,True,False,85.96080088615417,D:\Market Data\Experiment1\event_ledgers\NQM11-CME_event_ledger.csv
8,NQU12-CME,COMPLETED,2700000,2699996,16911,381,31,True,False,29.95322847366333,D:\Market Data\Experiment1\event_ledgers\NQU12-CME_event_ledger.csv
9,NQZ12-CME,COMPLETED,3300000,3299999,17593,796,32,True,False,37.022387981414795,D:\Market Data\Experiment1\event_ledgers\NQZ12-CME_event_ledger.csv
10,NQH13-CME,COMPLETED,6734872,6691607,36770,1114,31,True,False,72.30825901031494,D:\Market Data\Experiment1\event_ledgers\NQH13-CME_event_ledger.csv
11,NQM13-CME,COMPLETED,8615488,8469046,46560,1350,32,True,False,86.3737564086914,D:\Market Data\Experiment1\event_ledgers\NQM13-CME_event_ledger.csv
12,NQU13-CME,COMPLETED,8071471,7886527,41500,1288,32,True,False,79.914137840271,D:\Market Data\Experiment1\event_ledgers\NQU13-CME_event_ledger.csv
13,NQZ13-CME,COMPLETED,6800000,6710498,37456,1166,32,True,False,69.33485078811646,D:\Market Data\Experiment1\event_ledgers\NQZ13-CME_event_ledger.csv
14,NQH14-CME,COMPLETED,9279384,9210525,52187,1499,32,True,False,95.2320806980133,D:\Market Data\Experiment1\event_ledgers\NQH14-CME_event_ledger.csv
15,NQM14-CME,COMPLETED,11587246,11297658,75722,1792,32,True,False,116.91127347946167,D:\Market Data\Experiment1\event_ledgers\NQM14-CME_event_ledger.csv
16,NQU14-CME,COMPLETED,8618912,8401517,51619,1458,32,True,False,85.26314496994019,D:\Market Data\Experiment1\event_ledgers\NQU14-CME_event_ledger.csv
17,NQZ14-CME,COMPLETED,12502783,12166547,93079,1696,32,True,False,126.0875244140625,D:\Market Data\Experiment1\event_ledgers\NQZ14-CME_event_ledger.csv
18,NQH15-CME,COMPLETED,10677022,10303312,95482,1445,30,True,False,110.0626471042633,D:\Market Data\Experiment1\event_ledgers\NQH15-CME_event_ledger.csv
19,NQM15-CME,COMPLETED,8826006,8517452,74720,1298,32,True,False,89.58685374259949,D:\Market Data\Experiment1\event_ledgers\NQM15-CME_event_ledger.csv
20,NQU15-CME,COMPLETED,12037187,11832960,143060,1654,32,True,False,129.73956155776978,D:\Market Data\Experiment1\event_ledgers\NQU15-CME_event_ledger.csv
21,NQZ15-CME,COMPLETED,11000000,10831866,112802,1595,30,True,False,115.39518857002258,D:\Market Data\Experiment1\event_ledgers\NQZ15-CME_event_ledger.csv
22,NQH16-CME,COMPLETED,15309472,15228303,198800,2320,32,True,False,171.2074315547943,D:\Market Data\Experiment1\event_ledgers\NQH16-CME_event_ledger.csv
23,NQM16-CME,COMPLETED,10350292,10072049,81426,1761,32,True,False,104.60435676574707,D:\Market Data\Experiment1\event_ledgers\NQM16-CME_event_ledger.csv
24,NQU16-CME,COMPLETED,9580050,9247348,68897,1615,32,True,False,95.67471647262573,D:\Market Data\Experiment1\event_ledgers\NQU16-CME_event_ledger.csv
25,NQZ16-CME,COMPLETED,11381225,11002018,92928,1839,32,True,False,115.51987075805664,D:\Market Data\Experiment1\event_ledgers\NQZ16-CME_event_ledger.csv
26,NQH17-CME,COMPLETED,7863078,7647384,54159,1329,31,True,False,79.84031009674072,D:\Market Data\Experiment1\event_ledgers\NQH17-CME_event_ledger.csv
27,NQM17-CME,COMPLETED,10348802,9938893,62596,1648,32,True,False,100.35392165184021,D:\Market Data\Experiment1\event_ledgers\NQM17-CME_event_ledger.csv
28,NQU17-CME,COMPLETED,14439074,13862531,125343,2112,32,True,False,144.70723271369934,D:\Market Data\Experiment1\event_ledgers\NQU17-CME_event_ledger.csv
29,NQZ17-CME,COMPLETED,13212558,12860335,103106,2492,32,True,False,132.61857104301453,D:\Market Data\Experiment1\event_ledgers\NQZ17-CME_event_ledger.csv
30,NQH18-CME,COMPLETED,18490958,18014337,286551,2521,31,True,False,204.6214017868042,D:\Market Data\Experiment1\event_ledgers\NQH18-CME_event_ledger.csv
31,NQM18-CME,COMPLETED,6400000,6172764,104538,609,32,True,False,69.8443238735199,D:\Market Data\Experiment1\event_ledgers\NQM18-CME_event_ledger.csv
32,NQU18-CME,COMPLETED,21032207,20764563,251292,2879,32,True,False,230.60292196273804,D:\Market Data\Experiment1\event_ledgers\NQU18-CME_event_ledger.csv
33,NQZ18-CME,COMPLETED,33962325,33163321,627825,3578,31,True,False,518.3149702548981,D:\Market Data\Experiment1\event_ledgers\NQZ18-CME_event_ledger.csv
34,NQH19-CME,COMPLETED,23300000,22881620,406913,2595,31,True,False,378.03882908821106,D:\Market Data\Experiment1\event_ledgers\NQH19-CME_event_ledger.csv
35,NQM19-CME,COMPLETED,27698027,27026702,357530,3273,31,True,False,1480.6273319721222,D:\Market Data\Experiment1\event_ledgers\NQM19-CME_event_ledger.csv
36,NQU19-CME,COMPLETED,24946875,24438207,375119,2816,32,True,False,1663.1991307735443,D:\Market Data\Experiment1\event_ledgers\NQU19-CME_event_ledger.csv
37,NQZ19-CME,COMPLETED,21961657,21418819,280254,2783,32,True,False,240.5761957168579,D:\Market Data\Experiment1\event_ledgers\NQZ19-CME_event_ledger.csv
38,NQH20-CME,COMPLETED,35543997,34778550,835683,3196,32,True,False,645.0512142181396,D:\Market Data\Experiment1\event_ledgers\NQH20-CME_event_ledger.csv
39,NQM20-CME,COMPLETED,26576930,25676787,1095694,1605,32,True,False,395.07386660575867,D:\Market Data\Experiment1\event_ledgers\NQM20-CME_event_ledger.csv
40,NQU20-CME,COMPLETED,30635907,29619204,1038054,2374,32,True,False,495.00504660606384,D:\Market Data\Experiment1\event_ledgers\NQU20-CME_event_ledger.csv
41,NQZ20-CME,COMPLETED,31362672,30361013,1183408,1861,32,True,False,547.4932591915131,D:\Market Data\Experiment1\event_ledgers\NQZ20-CME_event_ledger.csv
42,NQH21-CME,COMPLETED,29949873,28805594,1055419,1974,32,True,False,516.0914478302002,D:\Market Data\Experiment1\event_ledgers\NQH21-CME_event_ledger.csv
43,NQM21-CME,COMPLETED,29133209,28615043,868292,2350,32,True,False,454.4453926086426,D:\Market Data\Experiment1\event_ledgers\NQM21-CME_event_ledger.csv
44,NQU21-CME,COMPLETED,26844842,25814646,598433,2296,32,True,False,326.2380225658417,D:\Market Data\Experiment1\event_ledgers\NQU21-CME_event_ledger.csv
45,NQZ21-CME,COMPLETED,33736983,32844687,937795,3107,31,True,False,575.6337263584137,D:\Market Data\Experiment1\event_ledgers\NQZ21-CME_event_ledger.csv
46,NQH22-CME,COMPLETED,39917922,38732163,1690272,2171,32,True,False,922.9113910198212,D:\Market Data\Experiment1\event_ledgers\NQH22-CME_event_ledger.csv
47,NQM22-CME,COMPLETED,38093615,37127899,1625358,2056,32,True,False,903.2717664241791,D:\Market Data\Experiment1\event_ledgers\NQM22-CME_event_ledger.csv
48,NQU22-CME,COMPLETED,36081036,34515094,1268225,2517,32,True,False,775.4315955638885,D:\Market Data\Experiment1\event_ledgers\NQU22-CME_event_ledger.csv
49,NQZ22-CME,COMPLETED,40646343,39496982,1417171,2927,32,True,False,983.6552696228027,D:\Market Data\Experiment1\event_ledgers\NQZ22-CME_event_ledger.csv
